time,precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),wind_speed_10m_max (mp/h),cloud_cover_mean (%),dew_point_2m_mean (°F),snowfall_water_equivalent_sum (inch),pressure_msl_mean (hPa),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°),wind_speed_10m_mean (mp/h),visibility_mean (undefined),soil_temperature_0_to_7cm_mean (°F),apparent_temperature_mean (°F),sunrise (iso8601),sunset (iso8601),weather_code (wmo code)
2010-01-01,0.012,0.000,0.193,1.0,32.2,37.2,25.5,31.6,17.9,6.3,99,23.7,0.028,1028.8,71,164,3.7,NaN,31.8,25.8,2010-01-01T08:52,2010-01-01T18:11,73
2010-01-02,0.051,0.051,0.000,6.0,31.7,36.1,26.9,30.5,20.9,3.4,27,24.9,0.000,1026.3,76,232,2.2,NaN,32.0,26.0,2010-01-02T08:52,2010-01-02T18:11,51
2010-01-03,0.000,0.000,0.000,0.0,25.0,32.7,18.4,26.5,11.4,3.9,47,19.3,0.000,1031.7,79,231,2.4,NaN,32.1,18.6,2010-01-03T08:52,2010-01-03T18:12,3
2010-01-04,0.000,0.000,0.000,0.0,21.6,31.2,10.6,24.9,3.8,3.0,90,14.6,0.000,1031.9,76,247,1.8,NaN,32.1,15.0,2010-01-04T08:52,2010-01-04T18:13,3
2010-01-05,0.000,0.000,0.000,0.0,27.3,33.2,22.1,27.2,14.9,3.2,78,17.8,0.000,1027.4,67,241,2.2,NaN,32.2,20.9,2010-01-05T08:52,2010-01-05T18:14,3
2010-01-06,0.000,0.000,0.000,0.0,33.1,35.5,30.6,30.6,24.4,4.8,83,26.1,0.000,1024.4,76,253,3.1,NaN,32.3,27.2,2010-01-06T08:52,2010-01-06T18:15,3
2010-01-07,0.000,0.000,0.000,0.0,23.8,30.0,17.6,23.8,11.0,4.6,69,21.8,0.000,1033.1,92,278,3.2,NaN,32.5,17.4,2010-01-07T08:51,2010-01-07T18:16,3
2010-01-08,0.000,0.000,0.000,0.0,13.6,23.7,2.9,16.7,-4.6,4.6,55,6.5,0.000,1037.1,74,252,2.4,NaN,32.5,6.2,2010-01-08T08:51,2010-01-08T18:17,3
2010-01-09,0.000,0.000,0.000,0.0,21.1,27.4,13.8,20.9,6.4,2.7,88,13.1,0.000,1035.7,71,279,2.3,NaN,32.5,14.3,2010-01-09T08:51,2010-01-09T18:18,3
2010-01-10,0.000,0.000,0.000,0.0,25.1,29.8,19.7,23.3,12.9,3.8,61,20.4,0.000,1034.4,82,273,2.5,NaN,32.6,18.8,2010-01-10T08:51,2010-01-10T18:19,3
