time,precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),wind_speed_10m_max (mp/h),cloud_cover_mean (%),dew_point_2m_mean (°F),snowfall_water_equivalent_sum (inch),pressure_msl_mean (hPa),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°),wind_speed_10m_mean (mp/h),visibility_mean (undefined),soil_temperature_0_to_7cm_mean (°F),apparent_temperature_mean (°F),sunrise (iso8601),sunset (iso8601),weather_code (wmo code)
2010-01-11,0.000,0.000,0.000,0.0,21.6,29.6,12.5,23.3,5.2,3.7,54,17.2,0.000,1035.1,84,245,2.4,NaN,32.7,15.0,2010-01-11T08:51,2010-01-11T18:20,3
2010-01-12,0.000,0.000,0.000,0.0,25.7,35.9,15.1,29.3,7.7,4.7,82,16.3,0.000,1026.5,69,183,2.4,NaN,32.7,19.0,2010-01-12T08:50,2010-01-12T18:21,3
2010-01-13,0.000,0.000,0.000,0.0,29.1,41.1,16.5,34.6,8.0,7.2,71,18.3,0.000,1018.6,65,199,4.3,NaN,32.8,21.8,2010-01-13T08:50,2010-01-13T18:22,3
2010-01-14,0.016,0.000,0.110,2.0,30.4,34.1,27.2,28.8,21.2,3.8,74,25.3,0.016,1029.1,81,259,2.4,NaN,33.0,24.7,2010-01-14T08:50,2010-01-14T18:23,71
2010-01-15,0.000,0.000,0.000,0.0,25.4,33.6,16.9,27.1,9.6,4.7,84,19.7,0.000,1032.5,80,191,2.8,NaN,33.2,18.9,2010-01-15T08:49,2010-01-15T18:24,3
2010-01-16,0.000,0.000,0.000,0.0,25.0,33.4,15.0,27.2,7.9,3.5,97,18.0,0.000,1022.8,76,274,2.6,NaN,33.2,18.4,2010-01-16T08:49,2010-01-16T18:26,3
2010-01-17,0.000,0.000,0.000,0.0,26.7,35.3,15.2,28.7,8.0,3.2,72,17.6,0.000,1017.5,70,230,2.3,NaN,33.2,20.2,2010-01-17T08:48,2010-01-17T18:27,3
2010-01-18,0.106,0.008,0.717,9.0,31.5,37.4,26.8,30.1,19.7,7.8,89,25.1,0.102,1010.1,77,150,5.5,NaN,33.4,24.5,2010-01-18T08:48,2010-01-18T18:28,73
2010-01-19,0.091,0.047,0.303,6.0,32.7,37.9,28.8,29.8,20.7,9.8,70,26.4,0.043,1003.4,78,148,8.1,NaN,33.8,24.6,2010-01-19T08:47,2010-01-19T18:29,73
2010-01-20,0.098,0.000,0.772,7.0,30.4,36.6,27.2,29.1,20.3,8.8,84,25.5,0.110,1000.7,82,150,5.4,NaN,34.2,23.4,2010-01-20T08:47,2010-01-20T18:30,73
2010-01-21,0.091,0.016,0.579,10.0,31.7,40.1,28.0,33.3,20.3,8.6,86,24.8,0.083,994.7,76,139,5.7,NaN,34.8,24.5,2010-01-21T08:46,2010-01-21T18:31,73
2010-01-22,0.118,0.031,0.661,10.0,32.0,36.9,28.7,29.9,21.2,12.0,87,26.7,0.094,990.0,81,167,8.1,NaN,35.2,24.1,2010-01-22T08:45,2010-01-22T18:33,73
2010-01-23,0.016,0.000,0.193,2.0,28.2,30.8,24.4,24.7,16.4,7.0,76,24.0,0.028,1008.4,84,218,5.4,NaN,35.3,21.0,2010-01-23T08:45,2010-01-23T18:34,73
2010-01-24,0.000,0.000,0.000,0.0,28.8,33.0,24.2,27.0,16.8,9.1,53,22.2,0.000,1021.6,76,218,4.7,NaN,35.3,21.7,2010-01-24T08:44,2010-01-24T18:35,3
2010-01-25,0.000,0.000,0.000,0.0,27.0,34.9,21.2,29.0,12.9,6.7,74,18.8,0.000,1021.4,71,153,4.8,NaN,35.2,19.6,2010-01-25T08:43,2010-01-25T18:36,3
2010-01-26,0.024,0.000,0.220,4.0,28.6,38.5,18.9,33.3,11.0,5.9,87,22.0,0.031,1017.7,76,162,3.7,NaN,35.2,22.0,2010-01-26T08:42,2010-01-26T18:37,71
2010-01-27,0.031,0.000,0.248,4.0,29.2,34.0,24.4,27.4,18.5,4.9,95,25.0,0.035,1019.7,84,278,2.6,NaN,35.3,23.3,2010-01-27T08:42,2010-01-27T18:39,71
2010-01-28,0.000,0.000,0.000,0.0,25.9,32.0,19.3,24.9,12.5,6.7,40,21.8,0.000,1024.5,85,276,3.0,NaN,35.3,19.5,2010-01-28T08:41,2010-01-28T18:40,3
2010-01-29,0.000,0.000,0.000,0.0,22.0,29.6,11.4,23.4,4.1,3.6,72,16.7,0.000,1025.2,81,225,2.4,NaN,34.9,15.3,2010-01-29T08:40,2010-01-29T18:41,3
2010-01-30,0.024,0.000,0.165,2.0,24.2,30.7,17.0,24.3,10.6,3.9,63,17.2,0.024,1021.1,75,277,1.6,NaN,34.7,17.9,2010-01-30T08:39,2010-01-30T18:42,73
2010-01-31,0.106,0.008,0.689,12.0,29.7,36.2,23.3,30.6,14.3,7.9,55,22.9,0.098,1016.1,75,177,4.8,NaN,34.9,22.7,2010-01-31T08:38,2010-01-31T18:43,73
2010-02-01,0.000,0.000,0.000,0.0,30.0,37.7,22.5,31.5,14.5,6.1,25,23.2,0.000,1018.2,76,166,4.1,NaN,35.0,23.3,2010-02-01T08:37,2010-02-01T18:45,3
2010-02-02,0.000,0.000,0.000,0.0,27.1,38.0,17.4,32.8,9.6,6.1,88,17.4,0.000,1016.9,69,182,3.0,NaN,34.8,20.3,2010-02-02T08:36,2010-02-02T18:46,3
2010-02-03,0.004,0.004,0.000,1.0,28.5,38.3,17.7,33.0,9.8,4.5,72,19.4,0.000,1012.5,70,181,2.3,NaN,34.8,22.1,2010-02-03T08:35,2010-02-03T18:47,51
2010-02-04,0.000,0.000,0.000,0.0,32.7,39.1,27.4,33.6,20.8,5.7,40,22.5,0.000,1013.7,66,162,2.8,NaN,34.9,26.5,2010-02-04T08:34,2010-02-04T18:48,3
2010-02-05,0.039,0.008,0.248,5.0,31.1,38.5,24.1,33.0,16.3,5.6,89,24.8,0.035,1015.2,77,152,4.9,NaN,35.2,24.3,2010-02-05T08:33,2010-02-05T18:50,73
2010-02-06,0.016,0.016,0.000,2.0,37.3,41.2,33.2,36.7,28.2,4.7,82,31.1,0.000,1014.7,78,181,2.9,NaN,35.6,32.1,2010-02-06T08:32,2010-02-06T18:51,51
2010-02-07,0.000,0.000,0.000,0.0,31.0,37.2,25.3,30.0,19.7,7.1,97,26.3,0.000,1010.6,83,315,3.4,NaN,35.7,24.9,2010-02-07T08:31,2010-02-07T18:52,3
2010-02-08,0.000,0.000,0.000,0.0,26.6,32.5,19.2,26.5,12.8,4.3,7,20.6,0.000,1017.5,78,300,2.7,NaN,35.4,20.3,2010-02-08T08:29,2010-02-08T18:53,2
2010-02-09,0.000,0.000,0.000,0.0,26.3,34.8,16.0,29.9,9.1,3.7,32,19.4,0.000,1018.6,75,146,2.4,NaN,35.1,20.1,2010-02-09T08:28,2010-02-09T18:55,3
2010-02-10,0.000,0.000,0.000,0.0,27.5,34.6,18.6,28.8,11.3,3.8,48,21.0,0.000,1017.9,77,281,2.0,NaN,34.9,21.5,2010-02-10T08:27,2010-02-10T18:56,3
2010-02-11,0.028,0.004,0.220,4.0,32.1,36.6,29.4,32.2,21.2,7.9,77,26.4,0.031,1019.7,79,159,3.2,NaN,35.1,26.2,2010-02-11T08:26,2010-02-11T18:57,71
2010-02-12,0.039,0.024,0.110,4.0,34.8,43.1,28.4,37.7,20.5,7.2,63,27.2,0.016,1019.8,74,161,4.8,NaN,35.4,28.3,2010-02-12T08:25,2010-02-12T18:58,71
2010-02-13,0.087,0.087,0.000,9.0,35.4,40.1,31.7,35.1,24.8,5.6,71,29.2,0.000,1021.6,78,187,3.7,NaN,35.6,29.6,2010-02-13T08:23,2010-02-13T19:00,51
2010-02-14,0.000,0.000,0.000,0.0,34.3,41.1,25.9,35.9,20.0,4.8,65,28.4,0.000,1024.6,80,148,2.6,NaN,35.6,28.9,2010-02-14T08:22,2010-02-14T19:01,3
2010-02-15,0.047,0.035,0.083,7.0,32.5,37.1,24.8,33.2,17.4,5.4,77,29.0,0.012,1023.0,87,177,2.8,NaN,35.5,27.1,2010-02-15T08:21,2010-02-15T19:02,71
2010-02-16,0.000,0.000,0.000,0.0,33.4,39.3,28.1,33.7,21.6,4.7,95,29.8,0.000,1025.5,87,217,2.7,NaN,35.6,28.0,2010-02-16T08:20,2010-02-16T19:03,3
2010-02-17,0.000,0.000,0.000,0.0,34.2,38.2,29.5,35.0,24.0,3.9,77,29.8,0.000,1023.2,84,281,1.8,NaN,35.4,29.4,2010-02-17T08:18,2010-02-17T19:04,3
2010-02-18,0.122,0.020,0.717,9.0,32.7,37.3,27.8,31.0,22.0,5.9,53,28.4,0.102,1017.4,84,301,2.9,NaN,35.1,27.2,2010-02-18T08:17,2010-02-18T19:06,73
2010-02-19,0.031,0.004,0.276,4.0,28.9,34.3,21.2,28.0,15.0,5.6,63,24.1,0.039,1015.0,82,278,2.7,NaN,34.3,22.9,2010-02-19T08:16,2010-02-19T19:07,71
2010-02-20,0.000,0.000,0.000,0.0,27.5,32.0,22.1,25.6,15.9,6.5,57,20.8,0.000,1013.5,77,321,3.2,NaN,34.0,21.0,2010-02-20T08:14,2010-02-20T19:08,3
2010-02-21,0.012,0.000,0.276,3.0,25.9,30.6,21.5,22.7,15.4,7.5,80,19.4,0.039,1016.2,76,326,3.6,NaN,33.7,19.0,2010-02-21T08:13,2010-02-21T19:09,71
2010-02-22,0.000,0.000,0.000,0.0,24.6,29.1,18.6,20.9,11.3,9.2,5,17.1,0.000,1024.1,74,317,4.7,NaN,32.7,17.2,2010-02-22T08:11,2010-02-22T19:10,0
2010-02-23,0.000,0.000,0.000,0.0,24.8,35.6,12.6,30.0,4.5,7.4,20,15.2,0.000,1028.1,68,153,4.2,NaN,32.3,17.6,2010-02-23T08:10,2010-02-23T19:11,3
2010-02-24,0.114,0.016,0.799,10.0,29.4,35.4,21.4,28.3,13.0,8.8,100,22.5,0.114,1018.7,75,153,6.0,NaN,32.7,21.9,2010-02-24T08:08,2010-02-24T19:13,73
2010-02-25,0.299,0.055,1.709,11.0,34.0,36.9,29.7,33.1,23.3,4.1,49,30.0,0.244,1022.0,86,234,2.9,NaN,33.3,28.9,2010-02-25T08:07,2010-02-25T19:14,73
2010-02-26,0.000,0.000,0.000,0.0,29.6,39.9,16.8,34.4,8.0,8.3,61,22.6,0.000,1023.3,76,157,6.5,NaN,33.1,22.1,2010-02-26T08:05,2010-02-26T19:15,3
2010-02-27,0.000,0.000,0.000,0.0,33.0,46.1,19.8,40.1,10.8,7.9,99,23.0,0.000,1009.4,69,160,5.6,NaN,33.8,25.7,2010-02-27T08:04,2010-02-27T19:16,3
2010-02-28,0.004,0.004,0.055,1.0,36.6,39.3,33.4,33.0,27.9,7.0,65,29.6,0.008,1012.9,76,299,4.2,NaN,35.7,30.7,2010-02-28T08:02,2010-02-28T19:17,71
2010-03-01,0.000,0.000,0.000,0.0,34.6,43.6,24.3,40.3,18.1,5.7,7,28.1,0.000,1022.2,78,178,2.5,NaN,35.4,29.5,2010-03-01T08:01,2010-03-01T19:18,2
2010-03-02,0.000,0.000,0.000,0.0,36.3,49.4,24.4,41.7,17.3,8.2,97,24.2,0.000,1015.1,65,152,6.5,NaN,35.1,28.8,2010-03-02T07:59,2010-03-02T19:19,3
2010-03-03,0.063,0.063,0.000,10.0,38.9,48.7,30.1,41.9,22.2,9.9,30,28.2,0.000,1010.4,67,152,7.9,NaN,36.7,31.4,2010-03-03T07:58,2010-03-03T19:21,51
2010-03-04,0.201,0.161,0.276,12.0,35.4,48.5,28.1,42.7,20.9,7.3,67,30.9,0.039,1007.3,85,152,4.8,NaN,37.3,29.4,2010-03-04T07:56,2010-03-04T19:22,73
2010-03-05,0.161,0.012,1.075,12.0,33.7,40.3,29.1,35.5,22.6,5.1,71,29.3,0.154,1017.3,84,168,3.6,NaN,37.7,28.0,2010-03-05T07:55,2010-03-05T19:23,73
2010-03-06,0.000,0.000,0.000,0.0,32.4,43.0,21.4,39.9,14.6,4.8,73,25.5,0.000,1017.6,77,169,2.5,NaN,36.2,26.9,2010-03-06T07:53,2010-03-06T19:24,3
2010-03-07,0.110,0.079,0.220,11.0,33.4,44.0,22.9,40.7,16.3,5.7,78,28.0,0.031,1010.3,81,174,3.0,NaN,36.4,27.9,2010-03-07T07:51,2010-03-07T19:25,73
2010-03-08,0.016,0.016,0.000,2.0,37.5,43.6,32.2,40.1,25.7,7.4,65,31.1,0.000,1010.7,78,200,3.2,NaN,38.0,32.3,2010-03-08T07:50,2010-03-08T19:26,51
2010-03-09,0.028,0.028,0.165,5.0,35.5,45.3,31.3,39.5,24.0,9.3,83,29.7,0.024,1007.1,80,276,6.8,NaN,38.5,28.6,2010-03-09T07:48,2010-03-09T19:27,71
2010-03-10,0.000,0.000,0.000,0.0,30.2,34.1,26.1,25.7,18.7,10.1,49,19.6,0.000,1013.3,66,312,6.1,NaN,35.7,22.4,2010-03-10T07:47,2010-03-10T19:28,3
2010-03-11,0.000,0.000,0.000,0.0,31.6,38.0,26.5,32.7,19.1,6.2,20,19.3,0.000,1022.7,61,296,4.0,NaN,34.7,24.9,2010-03-11T07:45,2010-03-11T19:30,3
2010-03-12,0.000,0.000,0.000,0.0,34.6,48.2,22.1,42.7,14.1,8.0,55,20.1,0.000,1019.3,58,157,4.8,NaN,35.3,27.7,2010-03-12T07:43,2010-03-12T19:31,3
2010-03-13,0.461,0.012,3.142,14.0,32.3,38.3,28.8,32.2,20.9,9.0,95,26.8,0.449,1010.3,81,248,7.3,NaN,34.6,24.7,2010-03-13T07:42,2010-03-13T19:32,75
2010-03-14,0.031,0.000,0.276,4.0,33.9,41.7,27.6,34.2,19.6,10.7,63,29.1,0.039,1021.2,83,307,8.2,NaN,37.5,26.4,2010-03-14T07:40,2010-03-14T19:33,73
2010-03-15,0.000,0.000,0.000,0.0,36.4,45.5,27.2,42.7,21.1,4.7,0,28.0,0.000,1030.1,72,224,2.7,NaN,37.5,31.4,2010-03-15T07:39,2010-03-15T19:34,0
2010-03-16,0.000,0.000,0.000,0.0,39.7,52.1,25.9,49.5,18.9,5.1,46,27.4,0.000,1030.1,64,176,3.2,NaN,38.7,34.5,2010-03-16T07:37,2010-03-16T19:35,3
2010-03-17,0.000,0.000,0.000,0.0,42.2,54.1,27.9,51.0,21.5,5.4,94,28.1,0.000,1023.2,61,205,3.3,NaN,40.5,36.9,2010-03-17T07:35,2010-03-17T19:36,3
2010-03-18,0.008,0.008,0.000,2.0,40.4,46.5,34.1,40.0,26.6,12.5,72,30.2,0.000,1016.0,67,305,6.0,NaN,39.9,33.9,2010-03-18T07:33,2010-03-18T19:37,51
2010-03-19,0.008,0.008,0.000,1.0,36.5,42.0,32.3,34.4,25.0,11.7,22,25.4,0.000,1021.4,65,314,6.4,NaN,37.7,29.4,2010-03-19T07:32,2010-03-19T19:38,51
2010-03-20,0.000,0.000,0.000,0.0,35.9,45.3,24.3,41.4,17.1,7.8,3,19.1,0.000,1027.5,53,141,3.2,NaN,37.3,29.8,2010-03-20T07:30,2010-03-20T19:39,1
2010-03-21,0.000,0.000,0.000,0.0,41.1,55.2,25.2,50.8,16.9,8.2,35,22.2,0.000,1020.2,51,161,6.0,NaN,39.2,34.0,2010-03-21T07:28,2010-03-21T19:40,3
2010-03-22,0.039,0.024,0.110,4.0,42.0,47.2,36.0,40.0,28.8,10.8,48,27.2,0.016,1015.0,56,292,6.4,NaN,40.5,35.0,2010-03-22T07:27,2010-03-22T19:41,71
2010-03-23,0.004,0.000,0.028,1.0,36.4,42.2,30.5,34.9,22.5,10.3,12,26.3,0.004,1021.3,69,303,6.6,NaN,39.2,29.4,2010-03-23T07:25,2010-03-23T19:42,71
2010-03-24,0.000,0.000,0.000,0.0,38.6,47.6,26.8,44.5,20.7,6.8,36,23.8,0.000,1021.1,57,133,2.8,NaN,39.4,33.1,2010-03-24T07:24,2010-03-24T19:43,3
2010-03-25,0.000,0.000,0.000,0.0,40.9,52.0,28.8,42.4,20.9,12.4,68,23.2,0.000,1011.0,52,183,7.7,NaN,40.3,32.9,2010-03-25T07:22,2010-03-25T19:45,3
2010-03-26,0.035,0.012,0.165,5.0,37.8,40.9,32.8,35.0,25.1,8.5,80,25.6,0.024,1015.4,62,297,5.4,NaN,40.3,31.0,2010-03-26T07:20,2010-03-26T19:46,71
2010-03-27,0.000,0.000,0.000,0.0,37.0,44.7,29.4,39.5,21.0,8.5,4,24.3,0.000,1028.0,62,313,5.8,NaN,39.4,30.2,2010-03-27T07:19,2010-03-27T19:47,1
2010-03-28,0.000,0.000,0.000,0.0,40.8,55.1,24.9,49.9,16.7,9.7,12,22.2,0.000,1024.3,53,153,6.6,NaN,40.3,33.6,2010-03-28T07:17,2010-03-28T19:48,2
2010-03-29,0.000,0.000,0.000,0.0,49.5,60.7,35.9,52.0,27.0,13.8,79,23.0,0.000,1009.0,37,162,10.1,NaN,43.8,40.3,2010-03-29T07:15,2010-03-29T19:49,3
2010-03-30,0.004,0.004,0.000,1.0,52.0,63.7,41.7,53.5,35.5,20.1,81,24.4,0.000,998.2,35,196,12.0,NaN,47.3,42.3,2010-03-30T07:14,2010-03-30T19:50,51
2010-03-31,0.575,0.071,3.528,24.0,36.4,41.0,32.6,35.2,26.8,9.8,100,31.3,0.504,1008.6,82,322,6.1,NaN,41.5,30.0,2010-03-31T07:12,2010-03-31T19:51,75
2010-04-01,0.201,0.035,1.157,14.0,33.0,36.4,30.1,30.4,23.8,9.4,86,25.7,0.165,1010.4,76,291,6.5,NaN,39.9,26.1,2010-04-01T07:10,2010-04-01T19:52,73
2010-04-02,0.110,0.016,0.661,9.0,33.1,38.7,26.0,31.1,18.8,12.3,66,23.9,0.094,1014.9,70,186,7.7,NaN,37.7,25.6,2010-04-02T07:09,2010-04-02T19:53,73
2010-04-03,0.114,0.067,0.331,6.0,34.3,38.9,30.6,31.5,22.8,13.0,86,21.7,0.047,1012.7,61,284,7.8,NaN,38.2,26.4,2010-04-03T07:07,2010-04-03T19:54,73
2010-04-04,0.079,0.004,0.551,7.0,36.6,45.6,29.6,38.7,22.8,5.6,93,25.6,0.079,1012.1,66,136,4.1,NaN,39.8,30.4,2010-04-04T07:05,2010-04-04T19:55,73
2010-04-05,0.524,0.307,1.516,14.0,39.0,46.7,33.6,42.3,23.0,18.5,87,31.8,0.217,1003.1,76,197,8.5,NaN,41.7,31.6,2010-04-05T07:04,2010-04-05T19:56,75
2010-04-06,0.051,0.024,0.276,7.0,34.1,37.1,31.3,26.9,22.3,17.0,65,23.9,0.039,1019.8,67,292,12.0,NaN,39.9,24.5,2010-04-06T07:02,2010-04-06T19:57,73
2010-04-07,0.000,0.000,0.000,0.0,37.1,41.0,32.4,38.8,23.7,8.9,5,24.3,0.000,1028.0,60,322,5.0,NaN,39.7,31.0,2010-04-07T07:01,2010-04-07T19:58,1
2010-04-08,0.000,0.000,0.000,0.0,40.1,53.8,24.2,49.4,16.4,8.3,7,27.0,0.000,1016.4,63,155,6.4,NaN,41.0,33.7,2010-04-08T06:59,2010-04-08T19:59,2
2010-04-09,0.000,0.000,0.000,0.0,39.9,43.9,34.2,38.2,27.7,10.1,43,26.8,0.000,1017.9,62,335,6.9,NaN,41.5,32.9,2010-04-09T06:57,2010-04-09T20:00,3
2010-04-10,0.004,0.004,0.000,1.0,43.8,59.3,27.7,54.3,21.8,7.8,66,30.3,0.000,1013.6,64,127,2.7,NaN,43.4,39.2,2010-04-10T06:56,2010-04-10T20:01,51
2010-04-11,0.000,0.000,0.000,0.0,53.1,66.2,40.9,57.3,32.7,13.7,95,29.7,0.000,1007.6,44,151,10.5,NaN,47.7,44.7,2010-04-11T06:54,2010-04-11T20:02,3
2010-04-12,0.232,0.232,0.000,7.0,49.3,64.0,38.9,53.8,33.7,17.2,74,32.6,0.000,1003.8,59,165,8.5,NaN,49.1,42.3,2010-04-12T06:53,2010-04-12T20:03,61
2010-04-13,0.291,0.213,0.551,12.0,43.0,49.7,37.0,45.9,30.8,8.1,62,33.6,0.079,1011.5,73,201,6.3,NaN,49.5,37.3,2010-04-13T06:51,2010-04-13T20:04,73
2010-04-14,0.000,0.000,0.000,0.0,45.9,56.7,33.7,54.9,27.9,8.1,14,30.9,0.000,1016.0,62,127,4.4,NaN,50.3,41.1,2010-04-14T06:50,2010-04-14T20:06,2
2010-04-15,0.000,0.000,0.000,0.0,50.2,64.1,35.7,61.2,30.1,5.5,73,35.6,0.000,1017.3,64,103,3.9,NaN,52.7,46.1,2010-04-15T06:48,2010-04-15T20:07,3
2010-04-16,0.000,0.000,0.000,0.0,53.4,67.6,40.4,62.7,35.1,6.3,98,40.2,0.000,1013.1,66,122,5.3,NaN,53.7,49.0,2010-04-16T06:47,2010-04-16T20:08,3
2010-04-17,0.000,0.000,0.000,0.0,55.0,64.2,46.5,62.1,42.0,6.4,53,38.4,0.000,1013.2,60,344,4.1,NaN,56.0,51.4,2010-04-17T06:45,2010-04-17T20:09,3
2010-04-18,0.000,0.000,0.000,0.0,55.6,69.7,41.4,69.8,36.5,7.4,47,38.4,0.000,1011.0,60,125,4.5,NaN,57.1,51.9,2010-04-18T06:44,2010-04-18T20:10,3
2010-04-19,0.000,0.000,0.000,0.0,57.3,72.5,41.0,71.6,35.6,6.8,12,38.2,0.000,1007.9,59,131,4.8,NaN,58.4,53.6,2010-04-19T06:42,2010-04-19T20:11,2
2010-04-20,0.000,0.000,0.000,0.0,58.7,70.3,46.4,64.4,39.3,13.7,35,39.5,0.000,1003.1,53,150,10.5,NaN,58.6,52.4,2010-04-20T06:41,2010-04-20T20:12,3
2010-04-21,0.528,0.528,0.000,13.0,53.5,64.5,45.0,62.4,41.6,9.6,83,44.2,0.000,999.5,73,223,5.4,NaN,58.3,49.9,2010-04-21T06:39,2010-04-21T20:13,63
2010-04-22,0.122,0.122,0.000,6.0,45.3,49.7,40.3,47.0,31.3,11.6,69,31.4,0.000,1005.0,62,217,6.5,NaN,54.3,39.4,2010-04-22T06:38,2010-04-22T20:14,55
2010-04-23,0.303,0.299,0.028,10.0,47.5,55.9,42.2,47.5,35.9,15.4,73,34.9,0.004,1007.8,64,313,9.2,NaN,49.3,40.3,2010-04-23T06:36,2010-04-23T20:15,71
2010-04-24,0.020,0.020,0.000,3.0,52.6,59.5,45.4,57.0,39.0,10.3,29,36.5,0.000,1014.4,56,279,4.4,NaN,53.3,48.6,2010-04-24T06:35,2010-04-24T20:16,51
2010-04-25,0.016,0.016,0.000,1.0,50.2,52.9,44.9,48.1,38.1,11.6,40,33.8,0.000,1018.3,54,317,7.3,NaN,53.9,44.4,2010-04-25T06:33,2010-04-25T20:17,51
2010-04-26,0.000,0.000,0.000,0.0,51.7,59.5,43.7,57.9,39.4,8.1,29,36.2,0.000,1016.2,59,105,3.7,NaN,54.9,48.1,2010-04-26T06:32,2010-04-26T20:18,2
2010-04-27,0.000,0.000,0.000,0.0,58.5,72.7,43.0,62.6,35.8,20.3,80,35.7,0.000,1001.5,49,161,13.7,NaN,55.8,49.7,2010-04-27T06:31,2010-04-27T20:19,3
2010-04-28,0.220,0.220,0.000,13.0,46.4,63.3,40.4,53.3,33.4,19.0,84,29.5,0.000,1003.6,54,303,8.5,NaN,53.2,39.0,2010-04-28T06:29,2010-04-28T20:20,53
2010-04-29,0.287,0.169,0.827,18.0,39.6,44.9,35.2,35.8,28.3,15.7,91,28.7,0.118,1006.1,67,301,10.2,NaN,48.8,31.3,2010-04-29T06:28,2010-04-29T20:21,73
2010-04-30,0.134,0.083,0.358,16.0,42.5,49.0,37.6,41.8,28.4,13.6,76,29.9,0.051,1009.4,62,325,10.6,NaN,48.9,34.3,2010-04-30T06:27,2010-04-30T20:22,73
2010-05-01,0.138,0.138,0.000,17.0,43.1,49.2,38.2,44.5,32.6,9.3,81,33.8,0.000,1009.2,71,290,5.9,NaN,50.2,37.5,2010-05-01T06:25,2010-05-01T20:23,53
2010-05-02,0.193,0.161,0.220,13.0,43.0,51.5,36.9,44.1,29.2,13.4,71,31.7,0.031,1012.9,68,322,9.4,NaN,49.1,35.7,2010-05-02T06:24,2010-05-02T20:24,73
2010-05-03,0.000,0.000,0.000,0.0,51.7,64.6,36.8,58.0,29.8,11.0,42,33.4,0.000,1015.0,52,183,8.1,NaN,51.8,45.5,2010-05-03T06:23,2010-05-03T20:25,3
2010-05-04,0.071,0.071,0.000,6.0,46.1,54.6,40.3,50.1,32.4,15.5,30,26.4,0.000,1019.6,48,331,8.1,NaN,54.1,39.3,2010-05-04T06:22,2010-05-04T20:26,53
2010-05-05,0.000,0.000,0.000,0.0,47.6,59.3,34.7,58.0,29.0,18.3,46,34.3,0.000,1010.8,63,345,6.4,NaN,52.8,42.2,2010-05-05T06:21,2010-05-05T20:27,3
2010-05-06,0.028,0.020,0.055,4.0,40.6,44.5,35.7,35.9,26.4,15.0,50,22.2,0.008,1020.3,48,309,9.9,NaN,49.8,31.9,2010-05-06T06:19,2010-05-06T20:28,71
