Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Sunrise,Sunset,Moon Phase,Conditions
"Salt Lake City, UT, US",01/01/2000,20.9,30.8,27.0,23.8,87.59,,9.2,,250.0,11.6,0.0,0.0,2.46,0.5,82.9,1010.0,"Heavy Snow, Mist, Fog, Smoke Or Haze, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2000-01-01T07:51:49-07:00,2000-01-01T17:10:18-07:00,0.83,Overcast
"Salt Lake City, UT, US",01/02/2000,21.8,29.9,26.7,22.2,83.18,,12.8,,210.48,14.3,0.3,20.83,4.7,6.4,92.4,1013.2,"Mist, Light Snow, Fog, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2000-01-02T07:51:56-07:00,2000-01-02T17:11:08-07:00,0.87,"Rain, Overcast"
"Salt Lake City, UT, US",01/03/2000,20.0,29.0,26.0,17.6,71.08,,20.8,,195.26,11.8,0.06,12.5,5.16,8.6,86.3,1027.2,"Hail Showers, Light Snow, Mist, Fog, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2000-01-03T07:52:00-07:00,2000-01-03T17:12:00-07:00,0.9,"Rain, Overcast"
"Salt Lake City, UT, US",01/04/2000,24.2,35.9,30.0,20.5,68.79,,16.1,,160.0,13.9,0.19,16.67,4.88,8.0,95.2,1026.1,"Light Snow, Mist, Fog",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2000-01-04T07:52:02-07:00,2000-01-04T17:12:54-07:00,0.93,"Rain, Overcast"
"Salt Lake City, UT, US",01/05/2000,26.0,33.2,30.1,23.2,75.65,,12.8,,190.0,19.8,0.0,0.0,5.39,9.5,96.2,1024.4,"Mist, Light Snow, Fog",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2000-01-05T07:52:01-07:00,2000-01-05T17:13:49-07:00,0.97,Overcast
"Salt Lake City, UT, US",01/06/2000,16.1,32.1,23.3,16.9,77.35,,10.3,,159.05,3.8,0.0,0.0,3.4,9.6,46.1,1032.0,,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2000-01-06T07:51:59-07:00,2000-01-06T17:14:46-07:00,0.0,Partially cloudy
"Salt Lake City, UT, US",01/07/2000,20.0,30.8,26.3,20.8,79.72,,9.2,,172.67,10.2,0.01,4.17,2.37,7.6,88.3,1027.4,"Mist, Light Snow, Fog",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2000-01-07T07:51:54-07:00,2000-01-07T17:15:43-07:00,0.04,"Rain, Overcast"
"Salt Lake City, UT, US",01/08/2000,25.1,35.9,31.2,24.6,76.72,,17.2,,166.96,14.8,0.0,0.0,2.38,8.4,90.4,1020.0,"Light Snow, Fog",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2000-01-08T07:51:47-07:00,2000-01-08T17:16:43-07:00,0.07,Overcast
"Salt Lake City, UT, US",01/09/2000,26.0,38.9,34.0,21.5,60.13,,13.9,,151.36,18.3,0.0,0.0,2.42,9.9,93.5,1016.3,,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2000-01-09T07:51:38-07:00,2000-01-09T17:17:43-07:00,0.11,Overcast
"Salt Lake City, UT, US",01/10/2000,32.1,42.2,36.4,28.9,75.56,,18.3,,187.37,26.5,0.26,25.0,2.47,6.6,99.6,1012.7,"Light Snow, Mist, Fog, Light Rain, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2000-01-10T07:51:26-07:00,2000-01-10T17:18:45-07:00,0.14,"Rain, Overcast"
