Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Sunrise,Sunset,Moon Phase,Conditions
"Salt Lake City, UT, US",01/01/1981,26.0,29.2,27.8,25.4,90.72,,5.5,,284.89,22.2,0.0,0.0,0.0,0.3,99.9,1026.9,"Mist, Fog, Smoke Or Haze, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,1981-01-01T07:51:57-07:00,1981-01-01T17:10:51-07:00,0.85,Overcast
"Salt Lake City, UT, US",01/02/1981,28.2,30.9,29.5,27.0,90.13,,6.6,,268.35,22.3,0.0,0.0,0.0,0.3,100.0,1025.7,"Snow Showers, Fog, Smoke Or Haze, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,1981-01-02T07:52:02-07:00,1981-01-02T17:11:43-07:00,0.89,Overcast
"Salt Lake City, UT, US",01/03/1981,29.0,32.2,30.1,27.8,91.05,,7.7,,259.14,22.2,0.0,0.0,0.0,0.6,100.0,1026.6,"Mist, Fog, Smoke Or Haze, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,1981-01-03T07:52:05-07:00,1981-01-03T17:12:36-07:00,0.92,Overcast
"Salt Lake City, UT, US",01/04/1981,30.0,34.1,32.5,30.1,90.61,,8.7,,230.05,25.8,0.1,29.17,1.97,1.0,100.0,1026.5,"Snow Showers, Mist, Light Snow, Light Drizzle, Fog, Rain Showers, Light Rain, Heavy Freezing Rain, Smoke Or Haze, Light Freezing Rain, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,1981-01-04T07:52:06-07:00,1981-01-04T17:13:30-07:00,0.95,"Rain, Overcast"
"Salt Lake City, UT, US",01/05/1981,28.2,34.0,32.2,28.6,86.7,,9.9,,265.42,20.4,0.0,4.17,0.82,6.2,100.0,1028.0,"Snow And Rain Showers, Snow Showers, Light Snow, Fog, Sky Coverage Increasing, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,1981-01-05T07:52:04-07:00,1981-01-05T17:14:26-07:00,0.98,Overcast
"Salt Lake City, UT, US",01/06/1981,24.1,35.7,31.1,26.0,81.45,,7.7,,205.52,19.9,0.0,0.0,0.79,11.0,83.0,1031.0,"Mist, Fog, Sky Coverage Decreasing, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,1981-01-06T07:52:00-07:00,1981-01-06T17:15:24-07:00,0.0,Overcast
"Salt Lake City, UT, US",01/07/1981,28.9,33.1,31.2,25.4,79.11,,7.8,,186.17,24.0,0.0,0.0,0.79,3.0,99.6,1024.2,"Mist, Light Snow, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,1981-01-07T07:51:54-07:00,1981-01-07T17:16:22-07:00,0.05,Overcast
"Salt Lake City, UT, US",01/08/1981,28.9,32.0,30.2,24.6,79.53,,11.1,,219.23,19.4,0.0,0.0,0.79,2.8,100.0,1025.0,"Mist, Fog, Smoke Or Haze, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,1981-01-08T07:51:45-07:00,1981-01-08T17:17:22-07:00,0.09,Overcast
"Salt Lake City, UT, US",01/09/1981,29.8,32.0,30.4,24.2,77.26,,6.8,,228.33,23.8,0.0,0.0,,3.0,100.0,1030.4,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,1981-01-09T07:51:35-07:00,1981-01-09T17:18:24-07:00,0.12,Overcast
"Salt Lake City, UT, US",01/10/1981,29.8,30.8,30.0,24.8,80.56,,6.7,,274.83,23.1,0.0,0.0,,3.2,100.0,1031.9,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,1981-01-10T07:51:21-07:00,1981-01-10T17:19:26-07:00,0.16,Overcast
