STATION,MON.DAY,YEAR,SNOW,SNWD,TMAX,TMIN,TOBS
USC00427064,1-30,1981,1,1,47,28,31
USC00427064,1-31,1981,7,8,32,24,30
USC00427064,2-1,1981,0,6,38,26,31
USC00427064,2-2,1981,0,5,39,12,30
USC00427064,2-3,1981,0,4,38,14,31
USC00427064,2-4,1981,0,4,37,13,33
USC00427064,2-5,1981,0,3,41,14,34
USC00427064,2-6,1981,0,2,41,25,38
USC00427064,2-7,1981,0,1,42,17,38
USC00427064,2-8,1981,0,0,42,18,42
USC00427064,2-9,1981,0,0,47,31,42
USC00427064,2-10,1981,0,0,42,19,23
USC00427064,2-11,1981,0,0,36,15,35
USC00427064,2-12,1981,0,0,54,29,48
USC00427064,2-13,1981,0,0,60,25,56
USC00427064,2-14,1981,0,0,59,38,56
USC00427064,2-15,1981,0,0,56,28,50
USC00427064,2-16,1981,0,0,63,29,54
USC00427064,2-17,1981,0,0,56,40,53
USC00427064,2-18,1981,0,0,61,29,58
USC00427064,2-19,1981,0,0,62,33,58
USC00427064,2-20,1981,0,0,61,31,36
USC00427064,2-21,1981,0,0,44,20,39
USC00427064,2-22,1981,0,0,51,22,45
USC00427064,2-23,1981,0,0,66,26,62
USC00427064,2-24,1981,0,0,69,30,63
USC00427064,2-25,1981,0,0,65,36,58
USC00427064,2-26,1981,0,0,58,36,39
USC00427064,2-27,1981,0.5,0,51,33,48
USC00427064,2-28,1981,0,0,55,28,52
USC00427064,3-1,1981,0,0,56,34,46
USC00427064,3-2,1981,0,0,46,34,35
USC00427064,3-3,1981,0,0,39,35,39
USC00427064,3-4,1981,0,0,53,30,50
USC00427064,3-5,1981,0,0,56,33,52
USC00427064,3-6,1981,0,0,53,31,50
USC00427064,3-7,1981,0,0,52,39,43
USC00427064,3-8,1981,0,0,51,32,49
USC00427064,3-9,1981,0,0,56,28,52
USC00427064,3-10,1981,0,0,55,30,50
USC00427064,3-11,1981,0,0,54,32,52
USC00427064,3-12,1981,0,0,57,39,48
USC00427064,3-13,1981,0,0,58,37,45
USC00427064,3-14,1981,0,0,58,33,51
USC00427064,3-15,1981,0,0,60,36,55
USC00427064,3-16,1981,0,0,57,39,47
USC00427064,3-17,1981,1.5,0,48,32,40
USC00427064,3-18,1981,0,0,51,22,48
USC00427064,3-19,1981,0,0,56,37,48
USC00427064,3-20,1981,0,0,49,37,37
USC00427064,3-21,1981,0.5,0,50,32,50
USC00427064,3-22,1981,0,0,61,33,58
USC00427064,3-23,1981,0,0,60,34,57
USC00427064,3-24,1981,0,0,58,35,54
USC00427064,3-25,1981,0,0,65,31,64
USC00427064,3-26,1981,0,0,64,34,35
USC00427064,3-27,1981,4,0,40,32,39
USC00427064,3-28,1981,0,0,51,34,48
USC00427064,3-29,1981,0,0,61,34,60
USC00427064,3-30,1981,1,0,60,32,34
USC00427064,3-31,1981,0.5,0,49,26,48
USC00427064,4-1,1981,0,0,61,35,58
USC00427064,4-2,1981,0,0,58,43,49
USC00427064,4-3,1981,0,0,49,35,43
USC00427064,4-4,1981,0,0,46,31,44
USC00427064,4-5,1981,0,0,61,26,60
USC00427064,4-6,1981,0,0,62,38,58
USC00427064,4-7,1981,0,0,58,38,52
USC00427064,4-8,1981,0,0,58,30,57
USC00427064,4-9,1981,0,0,73,42,69
USC00427064,4-10,1981,0,0,72,40,69
USC00427064,4-11,1981,0,0,71,45,66
USC00427064,4-12,1981,0,0,72,43,66
USC00427064,4-13,1981,0,0,67,40,64
USC00427064,4-14,1981,0,0,75,36,72
USC00427064,4-15,1981,0,0,73,51,62
USC00427064,4-16,1981,0,0,80,45,75
USC00427064,4-17,1981,0,0,79,45,76
USC00427064,4-18,1981,0,0,76,47,58
USC00427064,4-19,1981,0,0,58,39,52
USC00427064,4-20,1981,0,0,62,37,60
USC00427064,4-21,1981,0,0,60,47,55
USC00427064,4-22,1981,0,0,65,38,61
USC00427064,4-23,1981,0,0,72,39,68
USC00427064,4-24,1981,0,0,81,43,78
USC00427064,4-25,1981,0,0,82,54,76
USC00427064,4-26,1981,0,0,78,52,74
USC00427064,4-27,1981,0,0,74,51,61
USC00427064,4-28,1981,0,0,70,37,68
USC00427064,4-29,1981,0,0,78,42,76
USC00427064,4-30,1981,0,0,83,45,81
USC00427064,5-1,1981,0,0,85,49,84
USC00427064,5-2,1981,0,0,84,52,59
USC00427064,5-3,1981,0,0,59,45,54
USC00427064,5-4,1981,0,0,73,37,69
USC00427064,5-5,1981,0,0,75,47,65
USC00427064,5-6,1981,0,0,65,44,47
USC00427064,5-7,1981,0,0,62,33,60
USC00427064,5-8,1981,0,0,60,38,54
USC00427064,5-9,1981,0,0,68,34,66
USC00427064,5-10,1981,0,0,72,39,72
USC00427064,5-11,1981,0,0,72,44,60
USC00427064,5-12,1981,0,0,60,40,55
USC00427064,5-13,1981,0,0,67,34,67
USC00427064,5-14,1981,0,0,82,43,72
USC00427064,5-15,1981,0,0,72,46,52
USC00427064,5-16,1981,0,0,53,33,52
USC00427064,5-17,1981,0,0,61,42,57
USC00427064,5-18,1981,0,0,73,39,70
USC00427064,5-19,1981,0,0,75,48,66
USC00427064,5-20,1981,0,0,66,42,49
USC00427064,5-21,1981,0,0,58,41,58
USC00427064,5-22,1981,0,0,65,46,62
USC00427064,5-23,1981,0,0,71,42,69
USC00427064,5-24,1981,0,0,77,45,74
USC00427064,5-25,1981,0,0,75,56,69
USC00427064,5-26,1981,0,0,69,55,58
USC00427064,5-27,1981,0,0,69,52,66
USC00427064,5-28,1981,0,0,72,52,68
USC00427064,5-29,1981,0,0,81,49,79
USC00427064,5-30,1981,0,0,84,52,70
USC00427064,5-31,1981,0,0,73,55,
USC00427064,6-1,1981,0,0,83,49,80
USC00427064,6-2,1981,0,0,80,53,63
USC00427064,6-3,1981,0,0,69,52,66
USC00427064,6-4,1981,0,0,78,45,77
USC00427064,6-5,1981,0,0,85,49,83
USC00427064,6-6,1981,0,0,91,57,86
USC00427064,6-7,1981,0,0,90,57,84
USC00427064,6-8,1981,0,0,93,60,92
USC00427064,6-9,1981,0,0,92,61,80
USC00427064,6-10,1981,0,0,87,55,79
USC00427064,6-11,1981,0,0,89,54,85
USC00427064,6-12,1981,0,0,85,41,77
USC00427064,6-13,1981,0,0,77,45,55
USC00427064,6-14,1981,0,0,59,38,58
USC00427064,6-15,1981,0,0,71,39,69
USC00427064,6-16,1981,0,0,87,43,84
USC00427064,6-17,1981,0,0,84,52,75
USC00427064,6-18,1981,0,0,83,48,81
USC00427064,6-19,1981,0,0,88,50,84
USC00427064,6-20,1981,0,0,92,55,89
USC00427064,6-21,1981,0,0,89,58,85
USC00427064,6-22,1981,0,0,96,54,94
USC00427064,6-23,1981,0,0,94,61,90
USC00427064,6-24,1981,0,0,96,54,93
USC00427064,6-25,1981,0,0,104,60,99
USC00427064,6-26,1981,0,0,100,66,91
USC00427064,6-27,1981,0,0,91,76,81
USC00427064,6-28,1981,0,0,89,65,87
USC00427064,6-29,1981,0,0,94,55,84
USC00427064,6-30,1981,0,0,96,57,86
USC00427064,7-1,1981,0,0,90,66,83
USC00427064,7-2,1981,0,0,88,65,80
USC00427064,7-3,1981,0,0,90,55,87
USC00427064,7-4,1981,0,0,95,55,87
USC00427064,7-5,1981,0,0,100,57,98
USC00427064,7-6,1981,0,0,98,72,88
USC00427064,7-7,1981,0,0,90,71,87
USC00427064,7-8,1981,0,0,89,54,88
USC00427064,7-9,1981,0,0,93,63,70
USC00427064,7-10,1981,0,0,93,61,90
USC00427064,7-11,1981,0,0,94,62,86
USC00427064,7-12,1981,0,0,91,64,86
USC00427064,7-13,1981,0,0,94,65,91
USC00427064,7-14,1981,0,0,92,57,89
USC00427064,7-15,1981,0,0,95,53,94
USC00427064,7-16,1981,0,0,95,60,80
USC00427064,7-17,1981,0,0,90,56,88
USC00427064,7-18,1981,0,0,94,59,87
USC00427064,7-19,1981,0,0,95,57,93
USC00427064,7-20,1981,0,0,99,58,97
USC00427064,7-21,1981,0,0,98,56,97
USC00427064,7-22,1981,0,0,97,58,90
USC00427064,7-23,1981,0,0,96,58,91
USC00427064,7-24,1981,0,0,93,61,85
USC00427064,7-25,1981,0,0,97,64,85
USC00427064,7-26,1981,0,0,85,60,83
USC00427064,7-27,1981,0,0,87,53,86
USC00427064,7-28,1981,0,0,95,54,93
USC00427064,7-29,1981,0,0,100,62,96
USC00427064,7-30,1981,0,0,96,70,93
USC00427064,7-31,1981,0,0,96,59,91
USC00427064,8-1,1981,0,0,97,57,95
USC00427064,8-2,1981,0,0,97,61,93
USC00427064,8-3,1981,0,0,96,56,94
USC00427064,8-4,1981,0,0,94,58,93
USC00427064,8-5,1981,0,0,98,52,95
USC00427064,8-6,1981,0,0,97,53,94
USC00427064,8-7,1981,0,0,96,55,93
USC00427064,8-8,1981,0,0,98,59,93
USC00427064,8-9,1981,0,0,95,58,89
USC00427064,8-10,1981,0,0,89,65,69
USC00427064,8-11,1981,0,0,69,59,68
USC00427064,8-12,1981,0,0,77,56,75
USC00427064,8-13,1981,0,0,81,58,75
USC00427064,8-14,1981,0,0,89,54,83
USC00427064,8-15,1981,0,0,91,56,87
USC00427064,8-16,1981,0,0,92,55,91
USC00427064,8-17,1981,0,0,94,56,90
USC00427064,8-18,1981,0,0,93,55,81
USC00427064,8-19,1981,0,0,90,56,85
USC00427064,8-20,1981,0,0,94,57,90
USC00427064,8-21,1981,0,0,90,63,86
USC00427064,8-22,1981,0,0,91,58,87
USC00427064,8-23,1981,0,0,95,59,87
USC00427064,8-24,1981,0,0,91,60,89
USC00427064,8-25,1981,0,0,97,59,93
USC00427064,8-26,1981,0,0,100,64,90
USC00427064,8-27,1981,0,0,96,58,89
USC00427064,8-28,1981,0,0,96,57,85
USC00427064,8-29,1981,0,0,93,61,87
USC00427064,8-30,1981,0,0,92,65,80
USC00427064,8-31,1981,0,0,83,49,80
USC00427064,9-1,1981,0,0,92,50,86
USC00427064,9-2,1981,0,0,88,62,83
USC00427064,9-3,1981,0,0,91,56,87
USC00427064,9-4,1981,0,0,94,53,82
USC00427064,9-5,1981,0,0,82,55,62
USC00427064,9-6,1981,0,0,66,51,65
USC00427064,9-7,1981,0,0,79,56,68
USC00427064,9-8,1981,0,0,80,54,60
USC00427064,9-9,1981,0,0,76,53,68
USC00427064,9-10,1981,0,0,75,55,72
USC00427064,9-11,1981,0,0,83,49,76
USC00427064,9-12,1981,0,0,85,52,81
USC00427064,9-13,1981,0,0,87,52,81
USC00427064,9-14,1981,0,0,84,51,79
USC00427064,9-15,1981,0,0,88,50,82
USC00427064,9-16,1981,0,0,90,53,82
USC00427064,9-17,1981,0,0,89,52,82
USC00427064,9-18,1981,0,0,89,50,82
USC00427064,9-19,1981,0,0,90,49,82
USC00427064,9-20,1981,0,0,84,53,81
USC00427064,9-21,1981,0,0,84,52,77
USC00427064,9-22,1981,0,0,87,48,78
USC00427064,9-23,1981,0,0,83,50,77
USC00427064,9-24,1981,0,0,78,56,72
USC00427064,9-25,1981,0,0,72,58,63
USC00427064,9-26,1981,0,0,74,38,70
USC00427064,9-27,1981,0,0,86,43,79
USC00427064,9-28,1981,0,0,84,49,76
USC00427064,9-29,1981,0,0,76,53,68
USC00427064,9-30,1981,0,0,69,44,63
USC00427064,10-1,1981,0,0,75,39,68
USC00427064,10-2,1981,0,0,74,50,65
USC00427064,10-3,1981,0,0,65,51,54
USC00427064,10-4,1981,0,0,54,45,51
USC00427064,10-5,1981,0,0,66,40,61
USC00427064,10-6,1981,0,0,75,40,68
USC00427064,10-7,1981,0,0,72,47,66
USC00427064,10-8,1981,0,0,66,43,52
USC00427064,10-9,1981,0,0,65,36,60
USC00427064,10-10,1981,0,0,69,45,56
USC00427064,10-11,1981,0,0,56,45,49
USC00427064,10-12,1981,0,0,59,44,51
USC00427064,10-13,1981,0,0,58,38,49
USC00427064,10-14,1981,0,0,55,34,46
USC00427064,10-15,1981,0,0,47,32,43
USC00427064,10-16,1981,0,0,43,37,42
USC00427064,10-17,1981,0,0,53,35,52
USC00427064,10-18,1981,0,0,61,32,55
USC00427064,10-19,1981,0,0,65,33,57
USC00427064,10-20,1981,0,0,69,32,60
USC00427064,10-21,1981,0,0,64,32,57
USC00427064,10-22,1981,0,0,60,29,54
USC00427064,10-23,1981,0,0,59,30,54
USC00427064,10-24,1981,0,0,55,34,52
USC00427064,10-25,1981,0,0,61,31,54
USC00427064,10-26,1981,0,0,70,33,61
USC00427064,10-27,1981,0,0,69,42,63
USC00427064,10-28,1981,0,0,67,45,60
USC00427064,10-29,1981,0,0,60,35,38
USC00427064,10-30,1981,1.5,0,42,32,41
USC00427064,10-31,1981,0,0,49,25,44
USC00427064,11-1,1981,0,0,54,27,48
USC00427064,11-2,1981,0,0,58,29,51
USC00427064,11-3,1981,0,0,63,30,55
USC00427064,11-4,1981,0,0,65,31,55
USC00427064,11-5,1981,0,0,65,33,58
